Date,Price
11/29/2022,2417.88
11/28/2022,2408.27
11/25/2022,2437.86
11/24/2022,2441.33
11/23/2022,2418.01
11/22/2022,2405.27
11/21/2022,2419.5
11/18/2022,2444.48
11/17/2022,2442.9
11/16/2022,2477.45
11/15/2022,2480.33
11/14/2022,2474.65
11/11/2022,2483.16
11/10/2022,2402.23
11/09/2022,2424.41
11/08/2022,2399.04
11/07/2022,2371.79
11/04/2022,2348.43
11/03/2022,2329.17
11/02/2022,2336.87
11/01/2022,2335.22
10/31/2022,2293.61
10/28/2022,2268.4
10/27/2022,2288.78
10/26/2022,2249.56
10/25/2022,2235.07
10/24/2022,2236.16
10/21/2022,2213.12
10/20/2022,2218.09
10/19/2022,2237.44
10/18/2022,2249.95
10/17/2022,2219.71
10/14/2022,2212.55
10/13/2022,2162.87
10/12/2022,2202.47
10/11/2022,2192.07
10/07/2022,2232.84
10/06/2022,2237.86
10/05/2022,2215.22
10/04/2022,2209.38
09/30/2022,2155.49
09/29/2022,2170.93
09/28/2022,2169.29
09/27/2022,2223.86
09/26/2022,2220.94
09/23/2022,2290
09/22/2022,2332.31
09/21/2022,2347.21
09/20/2022,2367.85
09/19/2022,2355.66
09/16/2022,2382.78
09/15/2022,2401.83
09/14/2022,2411.42
09/13/2022,2449.54
09/08/2022,2384.28
09/07/2022,2376.46
09/06/2022,2410.02
09/05/2022,2403.68
09/02/2022,2409.41
09/01/2022,2415.61
08/31/2022,2472.05
08/30/2022,2450.93
08/29/2022,2426.89
08/26/2022,2481.03
08/25/2022,2477.26
08/24/2022,2447.45
08/23/2022,2435.34
08/22/2022,2462.5
08/19/2022,2492.69
08/18/2022,2508.05
08/17/2022,2516.47
08/16/2022,2533.52
08/12/2022,2527.94
08/11/2022,2523.78
08/10/2022,2480.88
08/09/2022,2503.46
08/08/2022,2493.1
08/05/2022,2490.8
08/04/2022,2473.11
08/03/2022,2461.45
08/02/2022,2439.62
08/01/2022,2452.25
07/29/2022,2451.5
07/28/2022,2435.27
07/27/2022,2415.53
07/26/2022,2412.96
07/25/2022,2403.69
07/22/2022,2393.14
07/21/2022,2409.16
07/20/2022,2386.85
07/19/2022,2370.97
07/18/2022,2375.25
07/15/2022,2330.98
07/14/2022,2322.32
07/13/2022,2328.61
07/12/2022,2317.76
07/11/2022,2340.27
07/08/2022,2350.61
07/07/2022,2334.27
07/06/2022,2292.01
07/05/2022,2341.78
07/04/2022,2300.34
07/01/2022,2305.42
06/30/2022,2332.64
06/29/2022,2377.99
06/28/2022,2422.09
06/27/2022,2401.92
06/24/2022,2366.6
06/23/2022,2314.32
06/22/2022,2342.81
06/21/2022,2408.93
06/20/2022,2391.03
06/17/2022,2440.93
06/16/2022,2451.41
06/15/2022,2447.38
06/14/2022,2492.97
06/13/2022,2504.51
06/10/2022,2595.87
06/09/2022,2625.44
06/08/2022,2626.15
06/07/2022,2626.34
06/03/2022,2670.65
06/02/2022,2658.99
05/31/2022,2685.9
05/30/2022,2669.66
05/27/2022,2638.05
05/26/2022,2612.45
05/25/2022,2617.22
05/24/2022,2605.87
05/23/2022,2647.38
05/20/2022,2639.29
05/19/2022,2592.34
05/18/2022,2625.98
05/17/2022,2620.44
05/16/2022,2596.58
05/13/2022,2604.24
05/12/2022,2550.08
05/11/2022,2592.27
05/10/2022,2596.56
05/09/2022,2610.81
05/06/2022,2644.51
05/04/2022,2677.57
05/03/2022,2680.46
05/02/2022,2687.45
04/29/2022,2695.05
04/28/2022,2667.49
04/27/2022,2639.06
04/26/2022,2668.31
04/25/2022,2657.13
04/22/2022,2704.71
04/21/2022,2728.21
04/20/2022,2718.69
04/19/2022,2718.89
04/18/2022,2693.21
04/15/2022,2696.06
04/14/2022,2716.71
04/13/2022,2716.49
04/12/2022,2666.76
04/11/2022,2693.1
04/08/2022,2700.39
04/07/2022,2695.86
04/06/2022,2735.03
04/05/2022,2759.2
04/04/2022,2757.9
04/01/2022,2739.85
03/31/2022,2757.65
03/30/2022,2746.74
03/29/2022,2741.07
03/28/2022,2729.56
03/25/2022,2729.98
03/24/2022,2729.66
03/23/2022,2735.05
03/22/2022,2710
03/21/2022,2686.05
03/18/2022,2707.02
03/17/2022,2694.51
03/16/2022,2659.23
03/15/2022,2621.53
03/14/2022,2645.65
03/11/2022,2661.28
03/10/2022,2680.32
03/08/2022,2622.4
03/07/2022,2651.31
03/04/2022,2713.43
03/03/2022,2747.08
03/02/2022,2703.52
02/28/2022,2699.18
02/25/2022,2676.76
02/24/2022,2648.8
02/23/2022,2719.53
02/22/2022,2706.79
02/21/2022,2743.8
02/18/2022,2744.52
02/17/2022,2744.09
02/16/2022,2729.68
02/15/2022,2676.54
02/14/2022,2704.48
02/11/2022,2747.71
02/10/2022,2771.93
02/09/2022,2768.85
02/08/2022,2746.47
02/07/2022,2745.06
02/04/2022,2750.26
02/03/2022,2707.82
01/28/2022,2663.34
01/27/2022,2614.49
01/26/2022,2709.24
01/25/2022,2720.39
01/24/2022,2792
01/21/2022,2834.29
01/20/2022,2862.68
01/19/2022,2842.28
01/18/2022,2864.24
01/17/2022,2890.1
01/14/2022,2921.92
01/13/2022,2962.09
01/12/2022,2972.48
01/11/2022,2927.38
01/10/2022,2926.72
01/07/2022,2954.89
01/06/2022,2920.53
01/05/2022,2953.97
01/04/2022,2989.24
01/03/2022,2988.77