DATE,RUB
2020.01.01,63.9203
2020.02.01,66.8806
2020.03.01,78.4426
2020.04.01,74.3813
2020.05.01,70.1445
2020.06.01,71.1734
2020.07.01,74.4114
2020.08.01,74.0718
2020.09.01,77.6319
2020.10.01,79.5257
2020.11.01,76.4033
2020.12.01,74.4121
2021.01.01,75.7404
2021.02.01,74.6196
2021.03.01,75.6987
2021.04.01,75.2073
2021.05.01,73.4341
2021.06.01,73.1522
2021.07.01,73.1409
2021.08.01,73.2274
2021.09.01,72.7514
2021.10.01,70.9464
2021.11.01,74.0838
2021.12.01,74.6539
2022.01.01,77.3792
2022.02.01,94.6025
2022.03.01,83.2
2022.04.01,70.96
2022.05.01,61.5
2022.06.01,51.45
2022.07.01,61.62
2022.08.01,60.23
2022.09.01,58.45
2022.10.01,61.4775
2022.11.01,60.5025