Country,Import
Australia,0
Japan,126
Korea,313
New Zealand,0
OECD Asia Oceania,439
Canada,0
Chile,0
Mexico,0
United States,626
OECD Americas,626
Austria,8
Belgium,278
Czech Republic,52
Denmark,28
Estonia,13
Finland,246
France,233
Germany,835
Greece,200
Hungary,92
Iceland,0
Ireland,11
Israel,0
Italy,204
Latvia,9
Lithuania,185
Luxembourg,0
Netherlands,748
Norway,45
Poland,509
Portugal,31
Slovak Republic,109
Slovenia,0
Spain,183
Sweden,43
Switzerland,0
Turkey,258
United Kingdom,170