Country,Export
Afghanistan,31228.48
Angola,2569.79
Albania,54489.26
United Arab Emirates,958359.88
Argentina,3121.11
Armenia,173395.65
Australia,17967.45
Austria,5882.37
Azerbaijan,83203.46
Belgium,2570934.14
Benin,4401.74
Burkina Faso,184.4
Bangladesh,9423.41
Bulgaria,904932.54
Bahrain,2907.3
"Bahamas, The",161384.16
Bosnia and Herzegovina,82.88
Belarus,3760160.95
Bolivia,5.53
Brazil,309467.96
Brunei,70363.95
Central African Republic,118.35
Canada,41489.46
Switzerland,506145.14
Chile,19916.27
China,29130233.51
Cote d'Ivoire,1004.02
Cameroon,19789.47
"Congo, Rep.",1644.91
Colombia,5060.88
Cape Verde,174.36
Costa Rica,1519.44
Curaçao,102
Cyprus,189018.54
Czech Republic,921825.34
Germany,9082420.5
Djibouti,379.45
Denmark,869041.96
Dominican Republic,981.09
Algeria,50922.69
Ecuador,60384.76
"Egypt, Arab Rep.",162503.66
Western Sahara,85.75
Spain,1186991.15
Estonia,837408.9
Finland,3728786.1
France,2559671.27
Faeroe Islands,3004.31
Gabon,173.23
United Kingdom,2454974.19
Georgia,242685.87
Ghana,3597.08
Gibraltar,597806.93
Guinea,1606.53
Greece,1846516.57
Guatemala,1882.01
Guyana,195.69
"Hong Kong, China",155930.58
Honduras,612.95
Croatia,437960.45
Hungary,1173046.33
Indonesia,162060.54
India,1059397.23
Ireland,130753.9
Iraq,4830.69
Iceland,1546.19
Israel,237557.62
Italy,5404498.72
Jamaica,1288.15
Jordan,6191.84
Japan,6247673.29
Kazakhstan,900631.68
Kenya,3311.93
Kyrgyz Republic,451829.5
Cambodia,96.56
"Korea, Rep.",9068997.92
Kuwait,1368.99
Lebanon,179579.97
Liberia,290
Libya,12222.76
Sri Lanka,1557.37
Lithuania,1056271.59
Luxembourg,0.47
Latvia,1674912.35
Morocco,436334.99
Moldova,47647.12
Madagascar,158.22
Maldives,5.85
Mexico,21232.41
Marshall Islands,10.98
North Macedonia,21.97
Mali,370.7
Malta,2243832
Myanmar,3578.94
Mongolia,746855.93
Montenegro,247.43
Mozambique,1851.77
Mauritania,1367.83
Malaysia,831003.16
Namibia,804.52
New Caledonia,3357.41
Nigeria,43243.45
Nicaragua,915.27
Netherlands,17532987.81
Norway,305001.19
Nepal,41.6
New Zealand,250406.02
"Other Asia, nes",1274396.72
Oman,48559
Pakistan,53817.06
Panama,19114.33
Peru,23655.3
Philippines,181416.04
Papua New Guinea,4.28
Poland,6066646.86
"Korea, Dem. Rep.",10992.62
Portugal,98751.28
Paraguay,22300.76
Occ.Pal.Terr,184.84
French Polynesia,179.2
Qatar,1739.16
Romania,1246874.02
Saudi Arabia,395531
Senegal,346909.03
"Serbia, FR(Serbia/Montenegro)",8016.12
Singapore,1099016.4
Sierra Leone,1.64
Somalia,199.09
South Sudan,0.04
Sudan,2708.37
Suriname,445.82
Slovak Republic,1534278.29
Slovenia,320309.51
Sweden,509600.27
Seychelles,0.61
Togo,257478.91
Thailand,93459.06
Tajikistan,175284.26
Turkmenistan,6901.74
Trinidad and Tobago,148.29
Tunisia,138728.34
Turkey,4352731.58
Tanzania,2934.47
Ukraine,2349675.89
Unspecified,230152.94
Uruguay,2789.51
United States,5491356.15
Uzbekistan,415450.03
Vietnam,543226.66
Yemen,33315.2
South Africa,58678.29
"Congo, Dem. Rep.",36.73