DATE,sunfloweroil_Glob
2020.1.1,1000.215851
2020.2.1,913.6840625
2020.3.1,846.996875
2020.4.1,878.2458333
2020.5.1,900.0531746
2020.6.1,963.9416667
2020.7.1,974.110779
2020.8.1,1033.431448
2020.9.1,1188.552083
2020.10.1,1198.377083
2020.11.1,1348.078373
2020.12.1,1432.385326
2021.1.1,1551.076389
2021.2.1,1653.5475
2021.3.1,1972.238225
2021.4.1,1919.695833
2021.5.1,1936.486706
2021.6.1,1586.464583
2021.7.1,1560.264583
2021.8.1,1678.710417
2021.9.1,1601.202083
2021.10.1,1735.490079
2021.11.1,1746.120833
2021.12.1,1685.604529
2022.1.1,1703.467857
2022.2.1,1829.769792
2022.3.1,2487.813406
2022.4.1,2536.61746
2022.5.1,2498.825
2022.6.1,2154.404167
2022.7.1,1839.848214
2022.8.1,1823.439312
2022.9.1,1578.277083