,Country,Production
1,United States,32914647000 
2,Russia,22728734000 
3,Iran,9097956245 
4,Canada,6751698275 
5,Algeria,6491744560 
6,Qatar,6000936690 
7,Norway,5763408000 
8,China,4559625595 
9,Saudi Arabia,4231796450 
10,United Arab Emirates,3178738465 
11,Indonesia,3143035000 
12,Nigeria,3009650245 
13,Turkmenistan,2910379780 
14,Venezuela,2832121740 
15,Malaysia,2762798395 
16,Australia,2384327540 
17,Mexico,2336370000 
18,Uzbekistan,2037675500 
19,Netherlands,1909128900 
20,Egypt,1742018320 
21,United Kingdom,1675237655 
22,Thailand,1535072420 
23,Argentina,1518545000 
24,Kazakhstan,1515013500 
25,Trinidad and Tobago,1481287675 
26,Pakistan,1454978000 
27,Oman,1335613300 
28,Brazil,1238143900 
29,India,1133364295 
30,Colombia,979284950 
31,Azerbaijan,963746350 
32,Bangladesh,948609067 
33,Iraq,885029215 
34,Bolivia,741615000 
35,Bahrain,727489000 
36,Ukraine,670985000 
37,Myanmar,648030250 
38,Peru,611655800 
39,Kuwait,604981265 
40,Libya,591526250 
41,Yemen,444969000 
42,Brunei,439671750 
43,Romania,402591000 
44,Angola,372255415 
45,Vietnam,365157100 
46,Timor-Leste,347852750 
47,Papua New Guinea,346087000 
48,Germany,337258250 
49,Israel,333020450 
50,Congo,324898000 
51,Equatorial Guinea,296646000 
52,Italy,239117865 
53,Syria,218953000 
54,Poland,217116620 
55,Mozambique,201295500 
56,New Zealand,181448470 
57,Denmark,166439595 
58,Philippines,108770200 
59,Japan,99835505 
60,Gabon,91042070 
61,Cameroon,90406400 
62,Tunisia,87404625 
63,C̫te d'Ivoire,75644730 
64,Croatia,64591135 
65,Hungary,62578180 
66,Ecuador,59223255 
67,Cuba,48381550 
68,Ghana,45203200 
69,Austria,44602845 
70,South Africa,41318550 
71,Tanzania,39199650 
72,Chile,38563980 
73,Serbia,22248450 
74,Turkey,13455015 
75,Taiwan,12572140 
76,DR Congo,9181900 
77,Czech Republic (Czechia),8722805 
78,Belarus,8440285 
79,Afghanistan,6674535 
80,South Korea,6639220 
81,Jordan,5332565 
82,Ireland,4661580 
83,Morocco,4025910 
84,Bulgaria,3685264 
85,Slovakia,3496185 
86,Senegal,2189530 
87,Spain,2189530 
88,Albania,1236025 
89,Kyrgyzstan,1059450 
90,France,741615 
91,Tajikistan,706300 
92,Barbados,626435 
93,Georgia,353150 
94,Moldova,353150 
95,Chad,353150 
96,Greece,141260 
97,Slovenia,105945 